gene_name,gene_id,biotype,mhc_class_region,start,stop,HG002,HG003,HG004,HG005,HG01106,HG01258,HG01928,HG02055,HG02630,HG03492,HG03579,NA19240,NA20129,NA21309,NA24694,NA24695,IHW09021,IHW09049,IHW09071,IHW09117,IHW09118,IHW09122,IHW09125,IHW09175,IHW09198,IHW09200,IHW09224,IHW09245,IHW09251,IHW09359,IHW09364,IHW09409
SAPCD1,ENSG00000228727,protein_coding,3,31762655,31764850,268,186,167,124,254,243,218,198,152,116,72,84,207,190,243,96,85,134,45,140,20,223,136,72,118,119,116,9,60,183,39,69
VWA7,ENSG00000204396,protein_coding,3,31765589,31777328,198,142,103,74,161,181,133,142,96,78,45,57,146,131,160,71,46,76,23,98,18,136,84,48,55,83,64,6,37,118,18,45
VARS1,ENSG00000204394,protein_coding,3,31777517,31795752,172,120,89,74,145,152,131,131,79,70,43,47,133,117,142,66,60,89,30,110,29,142,101,51,77,80,78,13,46,128,26,49
LSM2,ENSG00000204392,protein_coding,3,31797395,31806966,135,89,59,51,96,111,95,79,66,57,29,27,108,77,105,41,19,50,18,52,8,65,45,22,27,50,38,3,12,65,8,25
HSPA1L,ENSG00000204390,protein_coding,3,31809618,31815283,270,183,121,99,187,221,145,156,132,115,63,50,214,170,183,83,50,83,18,138,21,159,84,57,70,95,100,11,49,158,17,62
HSPA1A,ENSG00000204389,protein_coding,3,31815542,31817946,300,227,160,110,208,253,162,179,166,125,67,74,246,209,225,100,61,145,31,162,25,173,114,74,100,105,110,6,46,161,26,66
HSPA1B,ENSG00000204388,protein_coding,3,31827737,31830254,313,239,140,131,198,236,121,125,144,156,57,50,290,212,225,82,56,139,25,161,32,211,148,69,82,114,139,17,66,180,21,111
NEU1,ENSG00000204386,protein_coding,3,31857658,31862905,214,155,97,87,165,179,109,109,87,96,50,49,167,131,171,75,47,70,31,79,11,137,70,38,51,63,75,6,28,120,14,44
SLC44A4,ENSG00000204385,protein_coding,3,31863191,31879046,206,145,122,99,169,198,159,144,109,89,50,59,171,129,169,90,52,85,38,127,18,165,88,52,61,81,82,8,39,140,25,50
EHMT2,ENSG00000204371,protein_coding,3,31879758,31897698,209,159,117,99,192,212,187,154,106,102,51,67,174,148,181,93,50,92,46,120,22,154,91,48,80,82,82,5,46,146,22,57
C2,ENSG00000166278,protein_coding,3,31897784,31945673,160,113,83,71,129,137,114,110,83,72,38,52,127,109,128,59,35,58,22,85,16,101,71,33,52,54,63,5,36,94,10,35
ZBTB12,ENSG00000204366,protein_coding,3,31899612,31902086,86,92,40,42,85,68,87,50,52,59,41,28,97,91,94,34,41,44,14,71,24,93,69,32,45,50,90,8,36,75,10,35
ENSG00000244255,ENSG00000244255,protein_coding,3,31927697,31952048,194,131,105,90,163,161,147,139,100,96,42,63,152,135,155,75,44,78,26,109,20,133,94,46,70,68,76,8,44,126,17,49
CFB,ENSG00000243649,protein_coding,3,31945649,31952086,249,163,133,124,233,212,199,191,129,126,52,83,201,169,202,103,52,120,36,151,27,175,136,60,102,89,119,15,59,192,30,74
NELFE,ENSG00000204356,protein_coding,3,31952086,31959038,215,147,115,110,194,195,152,150,108,111,49,59,168,132,181,84,57,95,33,112,21,165,99,39,73,86,93,8,47,148,24,64
SKIC2,ENSG00000204351,protein_coding,3,31959115,31969818,254,179,144,132,244,236,207,179,136,115,59,75,207,160,209,102,65,126,48,192,28,225,136,68,101,106,127,13,61,199,31,79
DXO,ENSG00000204348,protein_coding,3,31969809,31972290,245,177,108,115,186,211,148,125,137,117,53,65,215,171,207,102,59,104,52,194,36,234,125,79,118,97,121,9,70,203,27,87
STK19,ENSG00000204344,protein_coding,3,31971090,31982821,158,131,82,68,141,153,110,105,98,78,44,48,150,125,136,62,38,81,28,102,22,140,76,50,63,67,80,8,36,118,17,48
C4A,ENSG00000244731,protein_coding,3,31982056,32002681,81,54,45,42,64,79,81,50,53,34,12,13,71,55,82,35,8,46,25,63,16,93,46,34,44,74,39,4,25,83,14,35
C4B,ENSG00000224389,protein_coding,3,32014794,32035418,86,60,51,40,5,87,80,39,46,24,20,37,50,60,85,36,35,46,19,40,11,98,46,23,50,50,38,3,34,126,20,27
CYP21A2,ENSG00000231852,protein_coding,3,32038326,32041644,271,204,226,132,273,277,245,194,154,188,72,92,245,185,262,108,97,170,51,219,21,304,168,104,137,154,168,14,101,225,44,101
TNXB,ENSG00000168477,protein_coding,3,32041152,32115334,223,164,133,105,214,207,197,166,120,105,55,72,185,155,205,99,63,103,40,154,25,188,114,63,94,104,107,12,60,172,26,63
ATF6B,ENSG00000213676,protein_coding,3,32115263,32128253,187,144,107,80,159,178,144,140,91,81,46,63,159,121,149,64,40,76,28,82,13,119,73,37,61,72,62,5,35,103,12,43
FKBPL,ENSG00000204315,protein_coding,3,32128706,32130288,159,128,69,61,100,122,53,56,66,63,28,29,136,94,85,42,23,74,23,92,17,91,56,36,48,80,60,8,29,89,2,29
PRRT1,ENSG00000204314,protein_coding,3,32148358,32153083,103,82,49,41,104,83,68,60,53,54,31,45,81,64,68,32,50,77,22,84,8,146,80,47,64,87,85,3,43,64,13,49
ENSG00000285085,ENSG00000285085,protein_coding,3,32150494,32154373,113,80,52,43,108,86,75,67,53,59,28,45,76,64,75,34,50,75,20,77,11,140,67,46,50,73,76,3,35,61,11,51
PPT2,ENSG00000221988,protein_coding,3,32153440,32163678,159,113,80,75,151,143,118,127,85,73,40,46,122,112,123,69,34,56,24,95,12,127,55,27,49,54,62,5,25,88,17,42
PPT2-EGFL8,ENSG00000258388,protein_coding,3,32153844,32171978,191,135,103,89,184,175,157,151,102,83,46,62,152,131,157,80,45,75,28,127,17,164,78,44,65,71,77,7,46,127,23,50
EGFL8,ENSG00000241404,protein_coding,3,32164594,32168281,242,174,135,110,220,217,207,187,130,92,53,82,199,158,205,97,60,99,33,166,20,217,110,73,79,92,96,9,66,179,26,63
AGPAT1,ENSG00000204310,protein_coding,3,32168211,32178096,253,164,122,104,213,219,167,137,121,112,59,60,191,154,198,91,66,121,39,164,30,212,116,71,101,110,122,12,75,182,34,69
RNF5,ENSG00000204308,protein_coding,3,32178404,32180793,302,208,137,112,176,217,134,116,134,135,62,44,218,163,245,84,76,142,40,177,29,232,125,82,96,112,91,8,78,177,34,75
AGER,ENSG00000204305,protein_coding,3,32180967,32184322,285,185,149,120,206,223,181,179,134,125,52,57,201,177,223,80,75,103,52,159,23,223,121,67,105,103,110,16,63,148,28,83
PBX2,ENSG00000204304,protein_coding,3,32184732,32190202,281,174,134,123,213,245,201,161,128,119,67,56,219,174,227,87,75,140,47,175,27,224,125,86,120,108,132,11,62,185,24,83
GPSM3,ENSG00000213654,protein_coding,3,32190765,32195523,201,131,95,86,147,182,139,97,94,88,37,26,169,122,157,73,51,92,22,104,20,180,106,56,73,102,98,6,40,138,14,58
NOTCH4,ENSG00000204301,protein_coding,3,32194842,32224067,204,132,106,84,181,195,161,134,108,90,47,62,163,137,172,83,69,107,42,149,33,176,107,56,83,91,103,12,61,163,35,68
TSBP1,ENSG00000204296,protein_coding,3,32288525,32371907,203,140,103,92,168,164,136,126,108,88,40,61,156,135,152,62,41,89,28,100,18,137,86,38,59,76,84,9,46,106,18,50
BTNL2,ENSG00000204290,protein_coding,3,32393338,32407181,245,163,124,109,186,206,153,156,125,107,47,71,188,171,187,84,52,109,46,130,18,176,122,56,90,103,110,11,54,131,26,71
HLA-DRB5,ENSG00000198502,protein_coding,2,32517352,32530287,557,514,311,385,480,428,598,300,551,370,175,274,451,555,702,345,189,423,58,361,74,608,310,251,302,201,428,25,179,479,125,187
HLA-DRB1,ENSG00000196126,protein_coding,2,32577901,32589848,896,630,476,416,1084,973,593,709,409,558,370,369,1033,820,729,302,436,469,168,604,173,981,713,263,652,513,404,76,423,708,124,289
HLA-DQA1,ENSG00000196735,protein_coding,2,32628178,32647062,477,326,257,227,399,429,303,292,303,227,115,155,364,334,383,182,122,246,85,278,50,393,246,132,233,217,240,29,125,280,48,147
HLA-DQB1,ENSG00000179344,protein_coding,2,32659466,32668383,774,534,405,322,566,733,400,379,472,420,194,232,635,595,564,287,209,510,168,556,95,761,508,279,465,483,445,79,330,625,121,303
HLA-DQA2,ENSG00000237541,protein_coding,2,32741390,32747198,650,433,331,307,540,553,455,412,354,265,141,223,524,443,473,233,153,285,100,376,62,463,282,158,221,243,280,30,160,367,71,191
HLA-DQB2,ENSG00000232629,protein_coding,2,32756097,32763532,478,330,257,208,403,461,395,334,251,197,111,157,395,317,392,180,155,240,68,305,46,403,243,126,182,215,233,22,129,331,46,147
HLA-DPA1,ENSG00000231389,protein_coding,2,33064568,33080775,904,649,509,451,730,833,637,604,588,411,245,272,705,607,767,384,266,476,153,521,107,707,434,233,398,394,405,60,255,582,128,295
HLA-DPB1,ENSG00000223865,protein_coding,2,33075989,33089696,631,454,362,297,519,572,482,425,379,266,152,189,485,437,516,266,166,302,109,392,68,479,281,181,257,284,286,42,173,427,84,202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
