gene_name	gene_id	biotype	start	stop	HG002	HG003	HG004	HG005	HG01106	HG01258	HG01928	HG02055	HG02630	HG03492	HG03579	IHW09021	IHW09049	IHW09071	IHW09117	IHW09118	IHW09122	IHW09125	IHW09175	IHW09198	IHW09200	IHW09224	IHW09245	IHW09251	IHW09359	IHW09364	IHW09409	NA19240	NA20129	NA21309	NA24694	NA24695
TOB2P1	ENSG00000176933	processed_pseudogene	28217642	28218634	0.25	0.0	0.0	0.0	0.48	1.0	0.0	0.0	0.0	1.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.41	0.0
ZSCAN9	ENSG00000137185	protein_coding	28224885	28233487	0.65	0.68	0.25	0.0	0.0	0.81	0.0	0.0	0.81	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.75	0.0	0.0	0.04	0.49	1.01	0.0	0.0	0.96	0.0	0.0	0.0	2.24	0.64	0.74	0.03
ZKSCAN4	ENSG00000187626	protein_coding	28241696	28252269	2.44	0.0	0.05	0.35	0.86	0.53	0.54	1.6	0.84	0.95	0.0	0.01	0.57	0.0	0.58	0.0	1.23	0.0	0.04	0.46	0.0	0.45	0.0	0.0	0.59	0.0	0.45	0.18	1.25	2.09	1.1	1.01
NKAPL	ENSG00000189134	protein_coding	28259296	28260958	42.58	19.34	15.93	8.58	27.82	20.11	17.15	6.3	13.66	15.42	4.67	21.2	21.49	9.41	15.02	1.07	35.34	10.24	6.34	5.49	17.73	31.03	0.3	4.96	30.03	2.59	9.28	9.71	25.26	14.11	17.87	12.12
ZSCAN26	ENSG00000197062	protein_coding	28267057	28278224	0.33	0.26	0.51	0.0	0.0	0.21	0.71	0.74	0.32	0.46	0.16	0.0	1.05	0.33	0.38	0.0	0.11	0.4	0.69	0.0	0.34	0.82	0.0	0.0	3.07	0.23	0.0	0.24	0.5	0.44	0.0	0.0
ENSG00000276302	ENSG00000276302	protein_coding	28267120	28281580	0.23	0.2	0.39	0.0	0.0	0.26	0.53	0.77	0.24	0.55	0.12	0.0	0.81	0.26	0.27	0.0	0.08	0.3	0.53	0.0	0.26	1.01	0.14	0.0	2.36	0.17	0.0	0.18	0.39	0.34	0.02	0.0
PGBD1	ENSG00000137338	protein_coding	28281571	28302549	0.62	0.69	0.0	0.19	0.46	0.93	0.92	0.81	0.3	0.2	0.1	0.0	1.17	0.0	0.76	0.0	0.26	0.27	1.12	0.87	0.0	0.35	0.0	0.0	0.49	0.03	0.12	0.12	0.75	0.45	0.69	0.05
ENSG00000273712	ENSG00000273712	processed_pseudogene	28315612	28315883	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SMIM15P2	ENSG00000270326	processed_pseudogene	28319659	28319852	1.6	0.32	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.99	4.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
ZSCAN31	ENSG00000235109	protein_coding	28324692	28356271	1.07	0.88	0.79	0.25	0.36	0.75	0.52	0.58	0.11	0.31	0.11	0.38	0.84	0.08	0.36	0.0	1.0	0.7	0.0	0.16	0.19	0.38	0.06	0.0	0.65	0.0	0.29	0.27	0.75	0.36	0.89	0.22
ENSG00000289467	ENSG00000289467	lncRNA	28335661	28335828	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
ENSG00000290051	ENSG00000290051	lncRNA	28335994	28337030	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
ZKSCAN3	ENSG00000189298	protein_coding	28349946	28369172	0.93	0.66	0.31	0.39	1.95	0.75	1.03	0.39	0.42	0.58	0.27	1.02	0.99	0.26	1.43	0.0	1.13	0.26	0.8	0.11	1.3	1.05	0.0	0.0	1.37	0.0	0.23	0.42	1.12	1.44	0.34	0.51
ZSCAN12	ENSG00000158691	protein_coding	28378954	28399747	1.34	1.16	0.6	0.0	0.14	1.0	0.96	0.01	0.69	0.5	0.25	0.26	0.44	0.0	0.15	0.0	0.42	0.0	1.8	0.48	0.93	1.08	0.0	0.0	0.06	0.0	0.0	0.68	0.58	0.92	0.3	0.02
RNU2-45P	ENSG00000251877	snRNA	28410269	28410456	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZSCAN23	ENSG00000187987	protein_coding	28431929	28443502	0.43	0.12	0.46	0.16	0.88	0.0	0.26	0.0	0.0	0.2	0.33	0.0	0.13	0.6	0.0	0.0	0.17	0.08	0.09	0.0	0.79	0.58	0.0	0.0	0.67	0.0	0.2	0.84	0.13	0.26	0.59	0.42
COX11P1	ENSG00000231162	processed_pseudogene	28446972	28447807	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.85	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.99	0.0	0.0	0.0	0.0
OR2E1P	ENSG00000219262	unprocessed_pseudogene	28455647	28456141	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000287804	ENSG00000287804	lncRNA	28476649	28489505	0.61	0.1	0.08	0.08	0.82	0.1	0.08	0.2	0.03	0.82	0.0	0.14	0.0	0.0	0.31	0.16	0.06	0.1	0.0	0.61	0.95	0.34	0.0	0.0	0.46	0.0	0.0	0.09	0.96	0.4	0.1	0.14
ENSG00000286819	ENSG00000286819	lncRNA	28489578	28491661	0.16	0.0	0.61	1.0	0.44	1.0	0.38	0.0	1.33	1.22	0.0	0.62	0.0	0.0	0.3	0.24	1.0	0.0	0.0	0.0	1.23	0.0	0.0	0.0	3.41	0.05	0.0	0.0	0.26	1.04	0.49	1.0
GPX6	ENSG00000198704	protein_coding	28503295	28528215	0.79	1.23	0.07	0.32	0.17	0.51	0.76	1.29	0.39	0.78	0.24	0.0	0.45	0.14	0.63	0.49	0.36	0.24	0.29	0.54	0.71	0.33	0.18	0.65	1.08	0.33	0.21	0.39	0.86	0.63	0.15	0.0
GPX5	ENSG00000224586	protein_coding	28525880	28534955	0.5	0.0	0.0	0.0	0.0	0.48	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58	0.0	1.02	0.0	0.0	0.0	0.0	0.0	0.0
SCAND3	ENSG00000232040	protein_coding	28570534	28616212	5.41	3.73	2.13	3.02	4.15	3.53	2.95	2.89	1.92	1.96	1.26	0.66	2.94	1.04	3.62	0.88	5.59	2.24	1.18	2.05	2.5	4.37	0.6	1.15	5.2	0.94	2.35	2.29	4.17	4.24	3.62	1.4
ZBED9-AS1	ENSG00000246350	lncRNA	28587377	28591747	0.53	0.33	0.0	0.31	0.14	0.0	0.59	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.35	0.0	0.62	0.0	0.0	0.0	1.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.38	0.0	0.0
ENSG00000271440	ENSG00000271440	processed_pseudogene	28633380	28633594	1.0	0.0	1.0	0.0	1.18	0.0	0.0	2.9	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	5.0	0.0	0.0	1.0	0.0	8.99	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0
ENSG00000287279	ENSG00000287279	lncRNA	28634860	28649538	0.75	0.65	0.0	0.35	1.66	0.29	0.0	1.13	0.71	0.35	0.0	0.64	0.0	0.0	0.66	0.14	1.76	0.0	0.0	0.5	0.51	0.44	0.0	0.0	0.91	0.0	0.0	0.14	0.39	0.0	0.33	0.2
LINC00533	ENSG00000235570	lncRNA	28648285	28649066	0.0	0.0	0.0	1.13	1.0	1.0	0.0	2.0	1.0	0.0	0.0	2.0	0.0	0.0	1.49	0.0	0.0	0.0	0.0	0.42	0.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPSAP2	ENSG00000237425	processed_pseudogene	28732016	28732904	0.38	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	3.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.71	0.84	0.0	0.99	0.0	1.0	1.0	0.49	0.0
NOP56P1	ENSG00000235559	processed_pseudogene	28783632	28784004	4.98	0.99	0.0	4.49	1.0	1.0	1.0	2.0	0.0	1.0	0.87	0.0	0.0	0.0	2.99	0.0	5.55	0.0	0.0	0.0	0.63	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000225173	ENSG00000225173	lncRNA	28837239	28839058	1.56	3.38	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	1.06	0.0	0.0
LINC01623	ENSG00000225595	lncRNA	28859624	28864630	0.58	1.56	0.15	0.24	1.54	0.28	1.68	1.43	0.09	0.29	0.0	0.08	3.95	0.0	2.68	1.42	1.3	0.92	1.33	2.74	1.86	0.0	0.0	0.0	0.21	0.0	1.38	1.85	1.81	1.93	0.0	0.9
RPL13P	ENSG00000213916	processed_pseudogene	28861415	28862047	0.17	0.0	0.75	0.0	1.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.99	0.0	0.0	0.64	2.0	1.0	2.19	3.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.16	0.96	1.0	0.0	0.0
ZNF90P2	ENSG00000233366	processed_pseudogene	28888831	28889906	2.98	1.43	0.0	0.0	1.34	0.6	1.72	0.63	1.11	0.0	0.39	0.0	0.72	2.12	0.55	0.0	2.19	0.0	2.51	0.0	1.77	2.22	0.0	0.0	2.58	0.0	0.0	0.07	2.0	0.0	3.03	4.99
HCG14	ENSG00000224157	lncRNA	28896529	28897322	0.0	0.99	1.0	1.0	1.0	1.04	2.0	0.0	3.97	1.0	0.0	0.27	3.98	0.0	0.0	0.0	0.22	0.0	3.61	0.0	0.0	0.99	0.0	0.0	0.0	0.0	0.0	0.99	2.0	1.55	0.0	0.0
TRIM27	ENSG00000204713	protein_coding	28903001	28923988	1.24	0.69	0.77	0.29	0.96	0.57	0.87	1.11	0.71	0.44	0.78	0.46	0.46	0.09	0.94	0.19	1.18	0.66	0.21	1.06	0.41	1.07	0.0	0.19	0.27	0.0	0.08	0.16	0.48	0.96	0.76	0.64
RNU6-930P	ENSG00000212240	snRNA	28915644	28915744	1.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	2.99	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	1.0
LINC01556	ENSG00000204709	lncRNA	28943876	28944537	0.0	0.0	0.0	0.0	0.0	0.71	0.0	1.0	0.59	0.0	0.0	0.0	0.0	0.0	0.86	1.0	0.0	0.0	0.0	0.0	0.0	0.53	0.0	2.39	0.0	0.0	0.0	0.0	0.21	0.02	1.8	0.0
KRT18P1	ENSG00000228666	processed_pseudogene	28969129	28970460	2.18	0.79	3.86	0.0	0.0	1.45	0.0	0.0	0.22	0.99	1.96	0.0	2.99	0.33	0.0	0.0	7.65	1.78	4.03	0.75	0.0	0.58	0.0	1.69	1.16	0.0	0.82	0.0	3.74	0.49	2.77	0.0
RN7SL471P	ENSG00000263426	misc_RNA	28977474	28977773	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.63	0.0	0.0	0.0	0.0	3.97	0.0	0.0	0.0	0.0	3.98	0.0	0.0	0.0	0.0	0.0
HCG15	ENSG00000227214	lncRNA	28986202	28987484	2.23	2.79	1.21	1.99	0.83	1.43	0.0	0.51	0.0	0.0	2.0	0.0	3.72	0.0	12.93	0.0	3.73	0.0	0.0	0.0	0.0	9.65	0.0	4.99	6.42	0.0	0.29	1.0	1.11	0.0	0.0	0.0
ENSG00000244349	ENSG00000244349	lncRNA	28986799	28988536	3.67	2.95	1.7	2.21	1.0	1.24	0.0	1.48	0.0	0.0	2.0	0.0	2.81	0.0	14.39	0.0	3.39	0.0	0.0	0.0	0.0	10.46	0.0	4.78	7.37	0.0	0.0	0.97	0.91	0.0	0.35	0.31
ZNF311	ENSG00000197935	protein_coding	28994784	29005316	0.79	0.26	0.42	0.08	0.0	0.05	1.02	0.14	0.95	0.81	0.0	0.53	0.93	0.0	0.2	0.16	0.33	0.61	2.4	0.0	0.23	0.6	0.0	0.0	0.24	0.0	0.32	0.42	0.71	0.58	0.25	0.18
OR2AD1P	ENSG00000223677	unprocessed_pseudogene	29026679	29027607	1.0	0.0	0.44	0.0	0.0	0.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR2W1-AS1	ENSG00000277661	lncRNA	29036020	29076524	0.38	0.14	0.28	0.11	0.18	0.3	0.32	0.41	0.33	0.12	0.1	0.06	0.23	0.11	0.94	0.0	0.37	0.15	0.36	0.05	0.35	1.24	0.0	0.15	0.44	0.0	0.37	0.06	0.91	0.06	0.51	0.0
OR2W1	ENSG00000204704	protein_coding	29044212	29045175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.78	5.89	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.78	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
OR2P1P	ENSG00000236909	unprocessed_pseudogene	29071823	29072599	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SAR1AP1	ENSG00000228364	processed_pseudogene	29076572	29077168	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR2B3	ENSG00000204703	protein_coding	29086207	29087313	0.18	0.0	1.0	1.0	0.0	0.42	0.0	0.57	1.0	0.0	0.0	0.0	1.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07
OR2J1	ENSG00000204702	protein_coding	29099489	29102701	0.43	0.0	0.0	0.0	0.0	0.0	0.72	0.32	0.24	0.01	0.0	0.0	0.0	0.0	0.31	0.0	0.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.09	1.13	0.0
OR2J3	ENSG00000204701	protein_coding	29108057	29114770	0.0	0.82	0.0	0.0	0.0	0.29	0.01	0.0	0.09	0.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.36	0.0	0.0	0.91	0.0	0.0	0.0	0.06	0.0	0.0	0.0
ENSG00000227206	ENSG00000227206	lncRNA	29124209	29128908	2.04	1.07	0.0	0.0	0.0	0.56	0.87	1.17	0.0	2.14	0.0	0.0	0.86	0.0	1.73	0.0	0.53	0.0	0.0	0.0	0.85	0.0	0.0	0.37	0.0	0.0	0.0	0.0	0.39	1.57	0.59	0.54
ENSG00000290479	ENSG00000290479	lncRNA	29137409	29142934	0.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.17	0.0	0.04	0.0
OR2N1P	ENSG00000203492	transcribed_unprocessed_pseudogene	29137879	29138816	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000284656	ENSG00000284656	lncRNA	29162474	29166201	0.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.72	0.0	0.0	0.34	0.0	0.0	0.0	0.0	1.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.62	0.0
OR2J2	ENSG00000204700	protein_coding	29170906	29175811	0.0	0.0	0.24	0.92	0.38	0.37	0.0	0.6	0.5	0.0	0.0	0.07	0.0	0.0	0.0	0.0	1.29	0.5	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.46	0.69
OR2J4P	ENSG00000224233	unprocessed_pseudogene	29181509	29182445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.65	1.92	0.0	0.0	0.0	0.0	0.0	0.41	0.0	2.0	3.42	0.0	0.0	0.0	0.0	0.0	1.9	0.0
ENSG00000290478	ENSG00000290478	lncRNA	29212885	29216933	0.0	0.0	0.0	0.0	0.02	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.62	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.04	0.31	0.0	0.33
OR2H4P	ENSG00000230598	transcribed_unprocessed_pseudogene	29215235	29216179	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC03003	ENSG00000290496	lncRNA	29223972	29292963	0.3	0.46	0.36	0.06	0.24	0.23	0.15	0.37	0.12	0.08	0.11	0.0	0.33	0.01	0.02	0.2	0.49	0.17	0.06	0.17	0.18	0.55	0.0	0.21	0.38	0.0	0.29	0.11	0.47	0.12	0.03	0.21
OR2G1P	ENSG00000213911	unprocessed_pseudogene	29229226	29230157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR2U1P	ENSG00000204697	unprocessed_pseudogene	29262702	29264079	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.29	0.0	0.0	0.0	0.0	0.95	0.0	0.0	2.0	1.0	0.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
OR2U2P	ENSG00000242524	unprocessed_pseudogene	29268461	29269421	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC03003	ENSG00000197171	transcribed_unprocessed_pseudogene	29290710	29291653	0.0	0.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR14J1	ENSG00000204695	protein_coding	29301700	29313017	2.66	0.88	1.04	0.01	0.0	0.21	0.0	0.0	0.25	0.0	0.09	0.0	0.96	0.0	0.0	0.0	1.37	0.19	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.26	0.0	0.31	0.2	0.27	0.0
